epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,16039,1.23247,0.98979,1.58483,0.91486,0.88634,0.89928,0.52493,1.43694,0.57912,2.14317,0.000500028,0.000500028,0.000500028
74,16255.4,1.22695,0.98732,1.57697,0.91542,0.88306,0.90038,0.52781,1.43394,0.57716,2.14351,0.00049506,0.00049506,0.00049506
75,16468.6,1.23743,0.98787,1.58406,0.91235,0.88415,0.89848,0.5283,1.431,0.57628,2.14345,0.000490057,0.000490057,0.000490057
76,16679.4,1.2212,0.97202,1.56651,0.91499,0.88306,0.89921,0.52793,1.4278,0.57502,2.14266,0.00048502,0.00048502,0.00048502
77,16889.9,1.21998,0.9694,1.57268,0.91549,0.88201,0.89727,0.5281,1.42464,0.57433,2.14341,0.000479949,0.000479949,0.000479949
78,17100.6,1.21654,0.96661,1.56753,0.91347,0.88257,0.8968,0.52922,1.42115,0.57196,2.14347,0.000474848,0.000474848,0.000474848
79,17311.5,1.20702,0.95913,1.55702,0.91219,0.88525,0.898,0.53044,1.41588,0.57195,2.1378,0.000469715,0.000469715,0.000469715
80,17524,1.20968,0.96138,1.5631,0.91294,0.8882,0.89789,0.53136,1.4139,0.57033,2.1391,0.000464554,0.000464554,0.000464554
81,17738.4,1.19851,0.95054,1.55449,0.91179,0.88743,0.89715,0.53157,1.41095,0.5694,2.14014,0.000459365,0.000459365,0.000459365
82,17960.8,1.18933,0.94899,1.54818,0.91125,0.88645,0.89515,0.5322,1.40779,0.56817,2.13933,0.00045415,0.00045415,0.00045415
83,235.916,1.22352,0.99464,1.57722,0.91126,0.88655,0.89607,0.53228,1.40635,0.5706,2.137,0.000448909,0.000448909,0.000448909
84,463.98,1.22332,0.99586,1.5756,0.91269,0.88798,0.89695,0.53313,1.40516,0.5718,2.13507,0.000443644,0.000443644,0.000443644
85,692.997,1.21897,0.97536,1.56833,0.91235,0.88736,0.89579,0.53357,1.40418,0.57195,2.13381,0.000438356,0.000438356,0.000438356
86,921.467,1.21436,0.9671,1.56594,0.91392,0.88907,0.8979,0.53395,1.40259,0.57143,2.1321,0.000433047,0.000433047,0.000433047
87,1143.67,1.21698,0.97521,1.56934,0.91167,0.88907,0.89783,0.53419,1.40172,0.57188,2.13233,0.000427718,0.000427718,0.000427718
88,1361.43,1.21526,0.97229,1.56851,0.90987,0.88907,0.89694,0.53441,1.39868,0.57214,2.12773,0.000422371,0.000422371,0.000422371
89,1579.36,1.21053,0.96556,1.55963,0.90844,0.88852,0.89671,0.535,1.39658,0.57275,2.12583,0.000417006,0.000417006,0.000417006
90,1797.77,1.20382,0.96883,1.55672,0.90722,0.89016,0.89607,0.53553,1.39671,0.57224,2.12814,0.000411624,0.000411624,0.000411624
91,2016.28,1.20163,0.96156,1.55407,0.90828,0.88962,0.89594,0.53528,1.39566,0.57143,2.12792,0.000406228,0.000406228,0.000406228
92,2234.46,1.19062,0.94079,1.54504,0.90548,0.88991,0.89706,0.53696,1.39436,0.57058,2.12794,0.000400819,0.000400819,0.000400819
93,2453.03,1.1887,0.93857,1.55047,0.90648,0.88985,0.89757,0.53757,1.39239,0.56996,2.12637,0.000395397,0.000395397,0.000395397
94,2671.13,1.18347,0.93083,1.5432,0.90491,0.88907,0.89595,0.53927,1.39109,0.56972,2.126,0.000389965,0.000389965,0.000389965
